days_since_signed,n,treaty,total_countries,months_since_signed
0,0,Paris,0,0
132,15,Paris,15,4.4
139,1,Paris,16,4.633333333
160,1,Paris,17,5.333333333
191,1,Paris,18,6.366666667
200,1,Paris,19,6.666666667
226,1,Paris,20,7.533333333
230,1,Paris,21,7.666666667
233,1,Paris,22,7.766666667
254,1,Paris,23,8.466666667
264,1,Paris,24,8.8
266,2,Paris,26,8.866666667
270,1,Paris,27,9
278,1,Paris,28,9.266666667
282,1,Paris,29,9.4
284,31,Paris,60,9.466666667
286,1,Paris,61,9.533333333
295,1,Paris,62,9.833333333
297,1,Paris,63,9.9
298,11,Paris,74,9.933333333
299,1,Paris,75,9.966666667
300,1,Paris,76,10
304,1,Paris,77,10.13333333
306,2,Paris,79,10.2
307,2,Paris,81,10.23333333
312,1,Paris,82,10.4
313,2,Paris,84,10.43333333
317,1,Paris,85,10.56666667
318,1,Paris,86,10.6
321,1,Paris,87,10.7
324,2,Paris,89,10.8
325,3,Paris,92,10.83333333
326,2,Paris,94,10.86666667
327,3,Paris,97,10.9
328,4,Paris,101,10.93333333
331,1,Paris,102,11.03333333
332,1,Paris,103,11.06666667
333,1,Paris,104,11.1
334,1,Paris,105,11.13333333
335,4,Paris,109,11.16666667
338,1,Paris,110,11.26666667
340,1,Paris,111,11.33333333
342,1,Paris,112,11.4
346,1,Paris,113,11.53333333
347,1,Paris,114,11.56666667
353,1,Paris,115,11.76666667
360,1,Paris,116,12
363,1,Paris,117,12.1
370,1,Paris,118,12.33333333
377,1,Paris,119,12.56666667
382,2,Paris,121,12.73333333
389,1,Paris,122,12.96666667
394,1,Paris,123,13.13333333
397,2,Paris,125,13.23333333
405,1,Paris,126,13.5
410,1,Paris,127,13.66666667
418,1,Paris,128,13.93333333
422,1,Paris,129,14.06666667
426,2,Paris,131,14.2
431,1,Paris,132,14.36666667
443,1,Paris,133,14.76666667
453,1,Paris,134,15.1
460,2,Paris,136,15.33333333
466,1,Paris,137,15.53333333
467,2,Paris,139,15.56666667
468,1,Paris,140,15.6
471,1,Paris,141,15.7
481,1,Paris,142,16.03333333
485,1,Paris,143,16.16666667
496,1,Paris,144,16.53333333
513,1,Paris,145,17.1
521,1,Paris,146,17.36666667
529,1,Paris,147,17.63333333
537,1,Paris,148,17.9
556,1,Paris,149,18.53333333
559,1,Paris,150,18.63333333
564,1,Paris,151,18.8
565,2,Paris,153,18.83333333
587,1,Paris,154,19.56666667
591,1,Paris,155,19.7
594,1,Paris,156,19.8
597,1,Paris,157,19.9
599,1,Paris,158,19.96666667
604,1,Paris,159,20.13333333
613,1,Paris,160,20.43333333
647,2,Paris,162,21.56666667
648,2,Paris,164,21.6
649,2,Paris,166,21.63333333
663,1,Paris,167,22.1
664,1,Paris,168,22.13333333
681,1,Paris,169,22.7
702,1,Paris,170,23.4
732,1,Paris,171,24.4
739,1,Paris,172,24.63333333
759,1,Paris,173,25.3
767,1,Paris,174,25.56666667
803,1,Paris,175,26.76666667
863,1,Paris,176,28.76666667
888,1,Paris,177,29.6
905,1,Paris,178,30.16666667
943,1,Paris,179,31.43333333
989,1,Paris,180,32.96666667
0,0,Kyoto,0,0
280,1,Kyoto,1,9.333333333
327,1,Kyoto,2,10.9
340,1,Kyoto,3,11.33333333
384,1,Kyoto,4,12.8
396,1,Kyoto,5,13.2
413,1,Kyoto,6,13.76666667
449,1,Kyoto,7,14.96666667
484,1,Kyoto,8,16.13333333
511,1,Kyoto,9,17.03333333
552,1,Kyoto,10,18.4
557,1,Kyoto,11,18.56666667
564,1,Kyoto,12,18.8
582,1,Kyoto,13,19.4
624,1,Kyoto,14,20.8
663,1,Kyoto,15,22.1
670,1,Kyoto,16,22.33333333
707,1,Kyoto,17,23.56666667
719,1,Kyoto,18,23.96666667
729,1,Kyoto,19,24.3
734,1,Kyoto,20,24.46666667
763,2,Kyoto,22,25.43333333
951,1,Kyoto,23,31.7
970,1,Kyoto,24,32.33333333
979,1,Kyoto,25,32.63333333
1000,1,Kyoto,26,33.33333333
1001,3,Kyoto,29,33.36666667
1022,1,Kyoto,30,34.06666667
1082,1,Kyoto,31,36.06666667
1152,1,Kyoto,32,38.4
1194,1,Kyoto,33,39.8
1245,1,Kyoto,34,41.5
1268,1,Kyoto,35,42.26666667
1314,1,Kyoto,36,43.8
1317,1,Kyoto,37,43.9
1344,1,Kyoto,38,44.8
1355,1,Kyoto,39,45.16666667
1387,1,Kyoto,40,46.23333333
1407,1,Kyoto,41,46.9
1411,1,Kyoto,42,47.03333333
1415,1,Kyoto,43,47.16666667
1431,1,Kyoto,44,47.7
1435,1,Kyoto,45,47.83333333
1450,1,Kyoto,46,48.33333333
1506,1,Kyoto,47,50.2
1524,1,Kyoto,48,50.8
1537,1,Kyoto,49,51.23333333
1552,1,Kyoto,50,51.73333333
1565,1,Kyoto,51,52.16666667
1568,2,Kyoto,53,52.26666667
1601,1,Kyoto,54,53.36666667
1624,1,Kyoto,55,54.13333333
1631,1,Kyoto,56,54.36666667
1632,16,Kyoto,72,54.4
1636,1,Kyoto,73,54.53333333
1667,1,Kyoto,74,55.56666667
1684,1,Kyoto,75,56.13333333
1693,1,Kyoto,76,56.43333333
1695,1,Kyoto,77,56.5
1699,1,Kyoto,78,56.63333333
1702,1,Kyoto,79,56.73333333
1708,1,Kyoto,80,56.93333333
1714,1,Kyoto,81,57.13333333
1715,1,Kyoto,82,57.16666667
1716,1,Kyoto,83,57.2
1719,4,Kyoto,87,57.3
1721,2,Kyoto,89,57.36666667
1723,1,Kyoto,90,57.43333333
1727,1,Kyoto,91,57.56666667
1728,1,Kyoto,92,57.6
1736,1,Kyoto,93,57.86666667
1749,1,Kyoto,94,58.3
1768,1,Kyoto,95,58.93333333
1790,1,Kyoto,96,59.66666667
1793,1,Kyoto,97,59.76666667
1828,1,Kyoto,98,60.93333333
1832,1,Kyoto,99,61.06666667
1834,1,Kyoto,100,61.13333333
1849,1,Kyoto,101,61.63333333
1863,1,Kyoto,102,62.1
1868,1,Kyoto,103,62.26666667
1883,1,Kyoto,104,62.76666667
1918,1,Kyoto,105,63.93333333
1958,1,Kyoto,106,65.26666667
1961,1,Kyoto,107,65.36666667
1979,1,Kyoto,108,65.96666667
1996,1,Kyoto,109,66.53333333
2036,1,Kyoto,110,67.86666667
2063,1,Kyoto,111,68.76666667
2066,1,Kyoto,112,68.86666667
2069,1,Kyoto,113,68.96666667
2071,1,Kyoto,114,69.03333333
2078,1,Kyoto,115,69.26666667
2093,1,Kyoto,116,69.76666667
2113,1,Kyoto,117,70.43333333
2115,1,Kyoto,118,70.5
2170,1,Kyoto,119,72.33333333
2286,1,Kyoto,120,76.2
2314,1,Kyoto,121,77.13333333
2395,1,Kyoto,122,79.83333333
2415,1,Kyoto,123,80.5
2470,1,Kyoto,124,82.33333333
2485,1,Kyoto,125,82.83333333
2518,1,Kyoto,126,83.93333333
2534,2,Kyoto,128,84.46666667
2549,2,Kyoto,130,84.96666667
2556,1,Kyoto,131,85.2
2577,1,Kyoto,132,85.9
2588,2,Kyoto,134,86.26666667
2589,1,Kyoto,135,86.3
2595,1,Kyoto,136,86.5
2596,1,Kyoto,137,86.53333333
2602,1,Kyoto,138,86.73333333
2603,1,Kyoto,139,86.76666667
2608,1,Kyoto,140,86.93333333
2624,1,Kyoto,141,87.46666667
2626,1,Kyoto,142,87.53333333
2633,1,Kyoto,143,87.76666667
2647,1,Kyoto,144,88.23333333
2659,1,Kyoto,145,88.63333333
2667,1,Kyoto,146,88.9
2668,1,Kyoto,147,88.93333333
2681,1,Kyoto,148,89.36666667
2694,1,Kyoto,149,89.8
2764,1,Kyoto,150,92.13333333
2780,1,Kyoto,151,92.66666667
2786,1,Kyoto,152,92.86666667
2811,1,Kyoto,153,93.7
2815,1,Kyoto,154,93.83333333
2836,1,Kyoto,155,94.53333333
2899,1,Kyoto,156,96.63333333
2955,1,Kyoto,157,98.5
2969,1,Kyoto,158,98.96666667
2973,1,Kyoto,159,99.1
2983,1,Kyoto,160,99.43333333
3000,1,Kyoto,161,100
3044,1,Kyoto,162,101.4666667
3130,1,Kyoto,163,104.3333333
3178,1,Kyoto,164,105.9333333
3210,1,Kyoto,165,107
3256,1,Kyoto,166,108.5333333
3259,1,Kyoto,167,108.6333333
3288,1,Kyoto,168,109.6
3350,1,Kyoto,169,111.6666667
3413,1,Kyoto,170,113.7666667
3420,1,Kyoto,171,114
3424,1,Kyoto,172,114.1333333
3435,1,Kyoto,173,114.5
3462,1,Kyoto,174,115.4
3574,1,Kyoto,175,119.1333333
3644,1,Kyoto,176,121.4666667
3686,1,Kyoto,177,122.8666667
3750,1,Kyoto,178,125
3771,1,Kyoto,179,125.7
3773,1,Kyoto,180,125.7666667
3878,1,Kyoto,181,129.2666667
3960,1,Kyoto,182,132
4043,1,Kyoto,183,134.7666667
4186,1,Kyoto,184,139.5333333
4208,1,Kyoto,185,140.2666667
4219,1,Kyoto,186,140.6333333
4247,1,Kyoto,187,141.5666667
4268,1,Kyoto,188,142.2666667
4270,1,Kyoto,189,142.3333333
4521,1,Kyoto,190,150.7
4610,1,Kyoto,191,153.6666667
5583,1,Kyoto,192,186.1
0,0,Doha,0,0
139,1,Doha,1,4.633333333
249,1,Doha,2,8.3
271,1,Doha,3,9.033333333
340,1,Doha,4,11.33333333
384,1,Doha,5,12.8
422,1,Doha,6,14.06666667
438,1,Doha,7,14.6
485,1,Doha,8,16.16666667
489,1,Doha,9,16.3
541,1,Doha,10,18.03333333
551,1,Doha,11,18.36666667
636,2,Doha,13,21.2
638,1,Doha,14,21.26666667
654,3,Doha,17,21.8
655,1,Doha,18,21.83333333
661,1,Doha,19,22.03333333
706,1,Doha,20,23.53333333
723,1,Doha,21,24.1
726,1,Doha,22,24.2
745,1,Doha,23,24.83333333
801,1,Doha,24,26.7
807,1,Doha,25,26.9
822,1,Doha,26,27.4
844,1,Doha,27,28.13333333
863,1,Doha,28,28.76666667
880,2,Doha,30,29.33333333
887,1,Doha,31,29.56666667
900,1,Doha,32,30
926,1,Doha,33,30.86666667
930,1,Doha,34,31
935,2,Doha,36,31.16666667
942,1,Doha,37,31.4
949,1,Doha,38,31.63333333
969,1,Doha,39,32.3
971,1,Doha,40,32.36666667
982,1,Doha,41,32.73333333
993,1,Doha,42,33.1
997,1,Doha,43,33.23333333
1014,1,Doha,44,33.8
1024,1,Doha,45,34.13333333
1025,2,Doha,47,34.16666667
1027,2,Doha,49,34.23333333
1033,1,Doha,50,34.43333333
1061,1,Doha,51,35.36666667
1067,1,Doha,52,35.56666667
1074,1,Doha,53,35.8
1077,1,Doha,54,35.9
1087,1,Doha,55,36.23333333
1088,1,Doha,56,36.26666667
1089,1,Doha,57,36.3
1094,1,Doha,58,36.46666667
1097,1,Doha,59,36.56666667
1160,1,Doha,60,38.66666667
1185,1,Doha,61,39.5
1215,1,Doha,62,40.5
1222,1,Doha,63,40.73333333
1229,1,Doha,64,40.96666667
1242,1,Doha,65,41.4
1318,1,Doha,66,43.93333333
1383,3,Doha,69,46.1
1385,1,Doha,70,46.16666667
1417,1,Doha,71,47.23333333
1430,1,Doha,72,47.66666667
1432,1,Doha,73,47.73333333
1452,1,Doha,74,48.4
1481,1,Doha,75,49.36666667
1574,1,Doha,76,52.46666667
1586,1,Doha,77,52.86666667
1664,1,Doha,78,55.46666667
1665,1,Doha,79,55.5
1704,1,Doha,80,56.8
1746,2,Doha,82,58.2
1748,1,Doha,83,58.26666667
1788,1,Doha,84,59.6
1802,4,Doha,88,60.06666667
1804,2,Doha,90,60.13333333
1805,1,Doha,91,60.16666667
1810,3,Doha,94,60.33333333
1818,1,Doha,95,60.6
1819,1,Doha,96,60.63333333
1839,11,Doha,107,61.3
1893,1,Doha,108,63.1
1909,1,Doha,109,63.63333333
1923,1,Doha,110,64.1
1972,1,Doha,111,65.73333333
2054,1,Doha,112,68.46666667
2062,1,Doha,113,68.73333333
2090,1,Doha,114,69.66666667
2104,1,Doha,115,70.13333333
