country,year,total_ghg_emissions,country_code,population,emissions_pc
Afghanistan,1990,15.21284765,AFG,12249114,1.2419549405777431e-6
Afghanistan,1991,15.28643902,AFG,12993657,1.1764539436434253e-6
Afghanistan,1992,14.01053087,AFG,13981231,1.0020956573852474e-6
Afghanistan,1993,14.02811754,AFG,15095099,9.293160342969596e-7
Afghanistan,1994,13.98540757,AFG,16172719,8.647530183390931e-7
Afghanistan,1995,14.33493659,AFG,17099541,8.38322887731314e-7
Afghanistan,1996,15.32321115,AFG,17822884,8.597492498969303e-7
Afghanistan,1997,16.28452661,AFG,18381605,8.859142936647806e-7
Afghanistan,1998,17.12443588,AFG,18863999,9.077839688180645e-7
Afghanistan,1999,18.00055534,AFG,19403676,9.276878948092103e-7
Afghanistan,2e3,16.496011,AFG,20093756,8.209520907888002e-7
Afghanistan,2001,15.20942187,AFG,20966463,7.254166747152345e-7
Afghanistan,2002,17.69909435,AFG,21979923,8.052391425575057e-7
Afghanistan,2003,18.43043903,AFG,23064851,7.990703703223575e-7
Afghanistan,2004,18.15134691,AFG,24118979,7.525752607521239e-7
Afghanistan,2005,18.98469798,AFG,25070798,7.572434662829639e-7
Afghanistan,2006,19.62292343,AFG,25893450,7.578334841436734e-7
Afghanistan,2007,20.39894648,AFG,26616792,7.663938794727779e-7
Afghanistan,2008,23.63001132,AFG,27294031,8.65757473493014e-7
Afghanistan,2009,26.94285547,AFG,28004331,9.620960225759367e-7
Afghanistan,2010,30.62955881,AFG,28803167,1.0634094094583418e-6
Afghanistan,2011,34.71300694,AFG,29708599,1.168449812796625e-6
Afghanistan,2012,34.50159007,AFG,30696958,1.1239416645128159e-6
Afghanistan,2013,33.1709203,AFG,31731688,1.0453563107011515e-6
Afghanistan,2014,33.36614812,AFG,32758020,1.0185642514413263e-6
Albania,1990,11.83611541,ALB,3286542,3.6013887575451645e-6
Albania,1991,9.26310997,ALB,3266790,2.835538853124933e-6
Albania,1992,7.014661328,ALB,3247039,2.1603255544513017e-6
Albania,1993,6.741119986,ALB,3227287,2.0887885044001354e-6
Albania,1994,7.28232571,ALB,3207536,2.270380039382255e-6
Albania,1995,6.838825201,ALB,3187784,2.145322644507909e-6
Albania,1996,6.54036378,ALB,3168033,2.0644872638637288e-6
Albania,1997,5.830688859,ALB,3148281,1.852023011605381e-6
Albania,1998,6.053516038,ALB,3128530,1.9349394245859877e-6
Albania,1999,7.217556318,ALB,3108778,2.321669903093756e-6
Albania,2e3,7.565397497,ALB,3089027,2.449119899890807e-6
Albania,2001,8.240178483,ALB,3060173,2.6927165500120416e-6
Albania,2002,8.87575377,ALB,3051010,2.9091198553921487e-6
Albania,2003,9.296451356,ALB,3039616,3.0584295371520616e-6
Albania,2004,9.367427843,ALB,3026939,3.0946866927281982e-6
Albania,2005,9.140727529,ALB,3011487,3.0352870621722753e-6
Albania,2006,7.941578861,ALB,2992547,2.6537858422942063e-6
Albania,2007,8.169867693,ALB,2970017,2.7507814578165715e-6
Albania,2008,7.752482525,ALB,2947314,2.630355138610952e-6
Albania,2009,7.820212657,ALB,2927519,2.6712764825779096e-6
Albania,2010,8.101157089,ALB,2913021,2.7810156840613238e-6
Albania,2011,8.448323292,ALB,2905195,2.908005587232526e-6
Albania,2012,8.114825295,ALB,2900401,2.7978287467836342e-6
Albania,2013,8.199265198,ALB,2895092,2.8321259559281713e-6
Albania,2014,8.678753001,ALB,2889104,3.0039600516284637e-6
Algeria,1990,91.70574889,DZA,25912367,3.5390726323843746e-6
Algeria,1991,91.14320179,DZA,26554329,3.432329312105759e-6
Algeria,1992,91.2941869,DZA,27181094,3.3587385003708827e-6
Algeria,1993,99.33301526,DZA,27786259,3.574897047493871e-6
Algeria,1994,97.66105283,DZA,28362253,3.4433460850236406e-6
Algeria,1995,99.71840223,DZA,28904298,3.449950669274168e-6
Algeria,1996,100.5643018,DZA,29411415,3.419226915808029e-6
Algeria,1997,104.230242,DZA,29886839,3.4874963524914764e-6
Algeria,1998,109.1274583,DZA,30335732,3.5973240500674256e-6
Algeria,1999,114.6284105,DZA,30765613,3.7258614187209595e-6
Algeria,2e3,118.3185044,DZA,31183660,3.7942468715987794e-6
Algeria,2001,115.2680503,DZA,31592153,3.648629148510391e-6
Algeria,2002,122.0141437,DZA,31995046,3.8135323731055115e-6
Algeria,2003,126.9564156,DZA,32403514,3.917982957033611e-6
Algeria,2004,130.2289854,DZA,32831096,3.966635332551798e-6
Algeria,2005,135.1224193,DZA,33288437,4.059139793796867e-6
Algeria,2006,134.0705954,DZA,33777915,3.9691791337624004e-6
Algeria,2007,142.2320986,DZA,34300076,4.14669922597256e-6
Algeria,2008,147.0597378,DZA,34860715,4.21849459484695e-6
Algeria,2009,157.1029989,DZA,35465760,4.429709074329719e-6
Algeria,2010,158.8508753,DZA,36117637,4.398152495413806e-6
Algeria,2011,171.4420602,DZA,36819558,4.656276976491678e-6
Algeria,2012,182.1202708,DZA,37565847,4.848027805682113e-6
Algeria,2013,187.0880607,DZA,38338562,4.879892487882044e-6
Algeria,2014,201.6851262,DZA,39113313,5.156431678390425e-6
Andorra,1990,0.409915531,AND,54509,7.5201440312608925e-6
Andorra,1991,0.411283371,AND,56671,7.257386864533889e-6
Andorra,1992,0.41265121,AND,58888,7.0073904700448305e-6
Andorra,1993,0.41768305,AND,60971,6.8505199193059e-6
Andorra,1994,0.415386889,AND,62677,6.627421366689535e-6
Andorra,1995,0.435074729,AND,63850,6.814012983555208e-6
Andorra,1996,0.465507233,AND,64360,7.232865646364202e-6
Andorra,1997,0.477619737,AND,64327,7.4248719355791505e-6
Andorra,1998,0.504388241,AND,64142,7.863618861276543e-6
Andorra,1999,0.527492745,AND,64370,8.194698539692403e-6
Andorra,2e3,0.539605249,AND,65390,8.252106575929041e-6
